comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,post_id,model_prediction,feeling
43948,656681,"هذو اللي راهم يقولوا 500, 000 جاتهم غاليه وما على باليش وناكل عند السلطع واحد ندخل شريك مع هشام كوك وواحد ما على باليش على كل حال احلييل اجماعه والله العظيم غير أحليل يا خويا العزيز ما يخفالكش بليك بلا كيما هذا ياكلوا فيه 10 من الناس وبصحتكم وبالبركه على الاخ والله بكل انصاف كيما قالوا في المستوى وفي متناول الجميع يعطيك صحة خو [APPRECIATION]",tiktok,Dz Forest Restaurant,2026-01-02T20:11:33.052626,0,,,,,Appreciation,,False,1061.0,"[""price_appreciation""]",positive
43908,420409,الله الابه,tiktok,Dz Forest Restaurant,2026-01-02T20:11:32.869766,0,,,,,,,True,1061.0,[],neutral
44054,277487,هداك هو مكاش تغيير زعما,tiktok,Dz Forest Restaurant,2026-01-02T20:11:36.764945,0,,,,,,,True,1061.0,[],neutral
44586,135116,على الأقل زيد شلاظة وفرماج,tiktok,Dz Forest Restaurant,2026-01-02T20:11:59.457738,0,complaint,,,,,,False,1061.0,"[""food_complaint""]",negative
43890,278931,تحسبها تلقها 560 ولا 570,tiktok,Dz Forest Restaurant,2026-01-02T20:11:32.083887,1,,,,,complaint,,False,1061.0,"[""price_complaint""]",negative
44318,273695,فيها الحميص خاوتي هذاك هو,tiktok,Dz Forest Restaurant,2026-01-02T20:11:47.144721,0,Appreciation,,,,,,False,1061.0,"[""food_appreciation""]",positive
44140,941520,الخروف راه 150 الف الكيلو,tiktok,Dz Forest Restaurant,2026-01-02T20:11:39.498528,0,,,,,Complaint,,False,1061.0,"[""price_complaint""]",negative
43782,814417,صحاب ليكومونتار قهويين شبغيتو السعر هذاك هو,tiktok,Dz Forest Restaurant,2026-01-02T20:11:30.146853,0,,,,,Appreciation,,False,1061.0,"[""price_appreciation""]",positive
44226,810456,بون بري ربي باركلك شيخ,tiktok,Dz Forest Restaurant,2026-01-02T20:11:41.303516,0,,,,,,,True,1061.0,[],neutral
44172,136753,كون تزيدلها رشة معدنوس و شوية قصبر تجي سواسوا هاذيك هي  [RECOMMENDATION],tiktok,Dz Forest Restaurant,2026-01-02T20:11:40.511656,0,Recommendation,,,,,,False,1061.0,"[""food_recommendation""]",positive
44128,661877,500 الف نروح عن شواي زعيم ندخل معاه شريك,tiktok,Dz Forest Restaurant,2026-01-02T20:11:39.498518,0,,,,,Complaint,,False,1061.0,"[""price_complaint""]",negative
44480,531470,منك بصح 500الف هههههه يخي,tiktok,Dz Forest Restaurant,2026-01-02T20:11:54.829318,0,,,,,Complaint,,False,1061.0,"[""price_complaint""]",negative
43938,152093,CEST DONNÉ,tiktok,Dz Forest Restaurant,2026-01-02T20:11:33.052619,1,,,,,,,True,1061.0,[],neutral
44074,269021,honnête bravo,tiktok,Dz Forest Restaurant,2026-01-02T20:11:36.764960,0,,,Appreciation,,,,False,1061.0,"[""place_appreciation""]",positive
