comment_id,final_id,comment_text,platform,source_name,date,likesCount,food,service,place,delivery,price,treatment,out_of_scope,post_id,model_prediction,feeling
57568,419093,بصحتك بدراهم الكافية,tiktok,@_le216_,2026-01-02T21:17:27.096156,1,,,,,,,True,1007.0,[],neutral
57922,676958,دراهم هما يزيدو في لواحد من لخر,tiktok,@_le216_,2026-01-02T21:17:34.821762,0,,,,,complaint,,False,1007.0,"[""price_complaint""]",negative
57600,812283,ڨاع ليكيباج. تحسب بابور,tiktok,@_le216_,2026-01-02T21:17:27.960350,0,,,,,,,True,1007.0,[],neutral
57936,794416,راجل من صبح الي مساء هو يخدم يشري كيلوا عدس وطماطم بط كوش الله مستعان,tiktok,@_le216_,2026-01-02T21:17:35.168024,0,,,,,,,True,1007.0,[],neutral
57308,413046,Tous ces produits chimiques à éviter pour la santé c’est toxique,tiktok,@_le216_,2026-01-02T21:17:20.584075,16,complaint,,,,,,False,1007.0,"[""food_complaint""]",negative
57390,537514,Bidon ta3 hout,tiktok,@_le216_,2026-01-02T21:17:22.062406,0,,,,,,,True,1007.0,[],neutral
57426,280349,هذو الرجال ليمانيلوا تاعو شارلومونتي,tiktok,@_le216_,2026-01-02T21:17:22.899548,0,,,,,,,True,1007.0,[],neutral
57342,940294,Pauvre de nous,tiktok,@_le216_,2026-01-02T21:17:21.147928,0,,,,,,,True,1007.0,[],neutral
57562,288500,مناكلش من بيدون لوكان نبات لشر علاه وقيل حمار,tiktok,@_le216_,2026-01-02T21:17:27.096149,4,,,,,,,True,1007.0,[],neutral
57334,933708,C’est toxique et dangereux le produit qui ce dégage des feu d’artifice  alors faut jamais le mettre au dessus des gateaux ou n’importe quel nourriture risque de contamination au métaux,tiktok,@_le216_,2026-01-02T21:17:21.147920,0,Recommendation,,,,,,False,1007.0,"[""food_recommendation""]",positive
57220,811055,بلاد الشهداء  [COMPLAINT],tiktok,@_le216_,2026-01-02T21:17:19.475533,0,,,,,,,True,1007.0,[],neutral
57404,545078,Mdr pk elle cours,tiktok,@_le216_,2026-01-02T21:17:22.062446,1,,,,,,,True,1007.0,[],neutral
57160,145566,joyeux anniversaire bel houte,tiktok,@_le216_,2026-01-02T21:17:18.828050,6,,,,,,,True,1007.0,[],neutral
57306,939682,متالي جاوبت روحها,tiktok,@_le216_,2026-01-02T21:17:20.584073,157,,,,,,,True,1007.0,[],neutral
57576,266925,كي تكون متسواش غرام و نتا عندك دراهم ناس كامل تشكملك,tiktok,@_le216_,2026-01-02T21:17:27.096164,1,,,,,,,True,1007.0,[],neutral
57376,792639,ساكت والمسكوتة,tiktok,@_le216_,2026-01-02T21:17:21.327077,1,,,,,,,True,1007.0,[],neutral
57202,276544,تعشيت بقرانطيطة ذيك لبنة حمد الله يا رب  [APPRECIATION],tiktok,@_le216_,2026-01-02T21:17:18.845040,3,appreciation,,,,,,False,1007.0,"[""food_appreciation""]",positive
57902,789912,"Stola avec les Stola, qui se ressemble, s'assemble",tiktok,@_le216_,2026-01-02T21:17:34.317864,0,,,,,,,True,1007.0,[],neutral
57766,539628,SEE FOOD BOAL   BIDOUNE TAH HOUT  [COMPLAINT] [RECOMMENDATION],tiktok,@_le216_,2026-01-02T21:17:31.501485,0,complaint,,,,,,False,1007.0,"[""food_complaint""]",negative
57598,803741,وضبع لي حال فمو قدامك كيفاه,tiktok,@_le216_,2026-01-02T21:17:27.960335,0,,,Inquiry,,,,False,1007.0,"[""place_inquiry""]",neutral
57496,817483,ربي يرزقنا بالحلال يااااارب,tiktok,@_le216_,2026-01-02T21:17:24.640349,1,,,,,,,True,1007.0,[],neutral
57934,666816,حميدة الستار ينضر بصمت,tiktok,@_le216_,2026-01-02T21:17:35.168014,0,,,,,,,True,1007.0,[],neutral
57768,789443,"Je suis venu manger au mois de mai, tu m'as pas reçu comme ça.",tiktok,@_le216_,2026-01-02T21:17:31.501486,14,,Complaint,,,,Complaint,False,1007.0,"[""service_complaint"", ""treatment_complaint""]",negative
57434,138211,دي بطار,tiktok,@_le216_,2026-01-02T21:17:22.899558,0,,,,,,,True,1007.0,[],neutral
57606,803689,جابلك راس وشوفي مليح,tiktok,@_le216_,2026-01-02T21:17:27.960358,0,,,,,,,True,1007.0,[],neutral
57548,412707,بطريق,tiktok,@_le216_,2026-01-02T21:17:26.344096,0,,,,,,,True,1007.0,[],neutral
57474,525445,مشتاقة,tiktok,@_le216_,2026-01-02T21:17:23.715894,0,,,,,,,True,1007.0,[],neutral
57206,393302,كليت عندو ف اليوم الثاني كي فتح الله يبارك القائمين عل المطعم معاملة شابة ربي يوفقهم,tiktok,@_le216_,2026-01-02T21:17:18.845043,1,Appreciation,Appreciation,Appreciation,,,,False,1007.0,"[""food_appreciation"", ""service_appreciation"", ""place_appreciation""]",positive
57190,797553,ولله نستعرف بيها بصحتها عايشة حياتها بصحتك وردة ويعطيه [APPRECIATION],tiktok,@_le216_,2026-01-02T21:17:18.845031,2,,,,,,,True,1007.0,[],neutral
57586,526499,عيطيلي نرفدلك كابا لورانيا,tiktok,@_le216_,2026-01-02T21:17:27.096175,0,,,,,,,True,1007.0,[],neutral
57572,291455,سبحان الله ، هذه فنانة ، ني لاطاي ني زين ني لافوا ، سمى هذه الفقمة ممكن كاش نهار يديرو مهرجان الفن و يعيطولها!,tiktok,@_le216_,2026-01-02T21:17:27.096160,1,,,,,,,True,1007.0,[],neutral
57860,543032,قرقور,tiktok,@_le216_,2026-01-02T21:17:33.204840,0,,,,,,,True,1007.0,[],neutral
57396,805618,منير الله يبارك عندو ماكلة شابة كليت عندو,tiktok,@_le216_,2026-01-02T21:17:22.062413,0,appreciation,,,,,,False,1007.0,"[""food_appreciation""]",positive
